Modèle,Version,Prix,Promo,DISPONIBILITÉ,CARROSSERIE,GARANTIE,NOMBRE DE PLACES,NOMBRE DE PORTES,NOMBRE DE CYLINDRES,ENERGIE,PUISSANCE FISCALE,PUISSANCE (CH.DIN),COUPLE,CYLINDRÉE,BOÎTE,NOMBRE DE RAPPORTS,TRANSMISSION,LONGUEUR,LARGEUR,HAUTEUR,VOLUME DU COFFRE,VOLUME DU COFFRE MAXIMAL,0-100 KM/H,VITESSE MAXI,CONSOMMATION MIXTE,AIRBAGS,ANTI-PATINAGE,ASSISTANCE AU FREINAGE,CONTRÔLE DE PRESSION DES PNEUS,AIDE AU DÉMARRAGE EN CÔTE,AIDE AU STATIONNEMENT,CONTRÔLE DE STABILITÉ ANTI-RETOURNEMENT,SYSTÈME DE DESCENTE EN CÔTE,FEUX À LED,JANTES,PHARES,AUTORADIO,CONNECTIVITÉ,ECRAN CENTRAL,ACCOUDOIRS,APPUIS TÊTES ARRIÈRES,SELLERIE,SIÈGES,SIÈGES RÉGLABLES EN HAUTEUR,TOIT,VOLANT,VOLANT RÉGLABLE,ALIMENTATION ÉLECTRIQUE,COFFRE À BAGAGES,CLIMATISATION,FERMETURE CENTRALISÉE,FREIN DE STATIONNEMENT,MODES DE CONDUITE,RÉTROVISEURS EXTÉRIEURS,INSTRUMENTATION DIGITALE,VITRES ÉLECTRIQUES,URL,CONSOMMATION URBAINE,CONSOMMATION EXTRA-URBAINE,ALARME ANTIVOL,ALERTE DE RISQUE DE COLLISION,BARRE STABILISATRICE,AIDE AU MAINTIEN DANS LA VOIE,CONDUITE AUTONOME,DIRECTION ASSISTÉE,RÉGULATEUR DE VITESSE,RECONNAISSANCE DES PANNEAUX,ELÉMENTS EXTÉRIEURS COULEUR CARROSSERIE,PEINTURE,POIGNÉES DE PORTES,POMMEAU DE LEVIER DE VITESSE,BOUTON START & STOP,CLÉ INTELLIGENTE,CALANDRE,FINITION INTÉRIEURE,VITRES,PUISSANCE THERMIQUE (CH.DIN),PUISSANCE ÉLECTRIQUE,BATTERIE,COUPLE ÉLECTRIQUE,AUTONOMIE ÉLECTRIQUE (WLTP),AUTONOMIE ÉLECTRIQUE (NEDC),KIT SÉCURITÉ,BAGUETTES EXTÉRIEURES D'ENCADREMENT DES VITRES,KIT RANGEMENT,ANTIBROUILLARDS,ORDINATEUR DE BORD,RÉTROVISEUR INTÉRIEUR,EMISSIONS DE CO2,CONSOMMATION ÉLECTRIQUE (WLTP),TEMPS DE RECHARGE NORMALE (AC),TEMPS DE RECHARGE RAPIDE (DC),ALERTE DE FRANCHISSEMENT DE LIGNE,ALERTE DE CIRCULATION TRANSVERSALE,ASSISTANT DE FEUX DE ROUTE,SURVEILLANCE D’ANGLE MORT,SEUILS DE PORTES,BARRES DE TOIT,CHARGE UTILE,TABLEAU DE BORD,SPOILER ARRIÈRE,Ancien Prix,NOMBRE DE MOTEURS ÉLECTRIQUES,VOLUME DU COFFRE AVANT,CAPACITÉ DE RECHARGE MAXIMALE (AC),LUMIÈRES D'AMBIANCE,PÉDALIERS,DIFFÉRENTIEL AUTOBLOQUANT,CONTRÔLE DU ROULIS DE LA REMORQUE,LIMITEUR DE VITESSE,KIT CARROSSERIE,NAVIGATION,CONNECTED DRIVE,TAPIS DE SOL,DÉTECTEUR DE FATIGUE,VOLUME UTILE,ARCEAU DE BENNE,MARCHEPIEDS LATÉRAUX,BOULE D'ATTELAGE,CAMÉRA D'ANGLE MORT,TRAIN ROULANT,SURFACE DE CHARGEMENT,CIEL DE PAVILLON,SORTIES D’ÉCHAPPEMENT,FREINAGE,SUSPENSION,PORTES EN ÉLYTRE,STORES PARE-SOLEIL
HYUNDAI IONIQ 6,77 kWh 2WD Large Range,199 950 DT,Non,Disponible,Berline,5 ans ou 100000 km | Batterie garantie 8 ans ou 160.000 KM,5,5,,Electrique,4 CV,227 CH,350 nm 0 tr/min,,Automatique,,Propulsion,4855 mm,1880 mm,1495 mm,401 L,,7.4 s,185 KM/H,,Frontaux | Latéraux | Rideaux | Centraux,ESP,EBD | Système anti-collision avec détection des piétons | Freinage multi-collision | FCA,,HAC,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière | Stationnement intelligent à distance,,,Feux de jour | Avant | Arrières | Pixel LED,En aluminium | 20'',Pixel LED | Bi-LED,Haut-parleurs Bose | Commandes au volant,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant,3,Cuir,Électriques | Chauffants | Ventilés | Fonction mémoire,Conducteur et passager,Panoramique | En verre,Multi-fonctions | Avec palettes,En hauteur et en profondeur,2 prises 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Normal | Sport | Eco | Neige,Virtuels,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/hyundai/ioniq-6/77-kwh-2wd#specs,,,Périmétrique,,,LKA | LFA,Niveau 2,Électrique,Adaptatif (ACC),Avec régulation de la vitesse,,,Escamotables,,Démarrage mains libres,Accès mains libres,,,Parebrise athermique,,,77.4 kWh,,614 km,,,,,,,Anti-éblouissement,0 g/km,14.3 kWh/100 km,7.2 heures,18 minutes,,,HBA,BCA,,,,,,,1,45 L,,LED,Aluminium,,,Intelligent,,Cartographie Tunisienne,,,DAW,,,,,,,,,,,,,
KIA EV6,Standard Range GT-Line,199 980 DT,Non,Disponible,SUV,5 ans | Batterie garantie 8 ans,5,5,,Electrique,3 CV,170 CH,350 nm 0 tr/min,,Automatique,,Propulsion,4695 mm,1890 mm,1550 mm,480 L,,8.5 s,185 KM/H,,Frontaux | Latéraux | Rideaux | Centraux,ESC,EBD | Système anti-collision avec détection des piétons | Freinage multi-collision | FCA,TPMS,HAC,Radar de recul | Radar avant | Système de caméras 360 | Détection du trafic en marche arrière | Stationnement intelligent à distance,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 19'' | Bi-ton,Full LED | Matrix LED,14 haut-parleurs | Commandes au volant | Meridian | Amplificateur externe,USB | Android Auto | Apple Carplay | AUX | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 12.3 pouces,Avant | Arrière,3,Suédine | Cuir artificiel,Électriques | Chauffants | Ventilés | Fonction mémoire,Conducteur et passager,Ouvrant | En verre,Chauffant | Multi-fonctions | Avec palettes | Cuir artificiel,En hauteur et en profondeur,2 prises 12 V | 230 V | Chargeur inversé (V2L),Ouverture et fermeture motorisées | Ouverture mains libres,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique | EPB,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants | Noirs | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/kia/ev6/gt-line-125kw-standard-range-58-kwh2wd#specs,,,Périmétrique,,,LKA | LFA,Niveau 2,Électrique,Adaptatif (ACC) | HDA,TSR | Avec régulation de la vitesse,,,Escamotables,,Démarrage mains libres,Accès mains libres,,,Lunette et vitres arrières sur-teintées,,,58 kWh,,394 km,,,,,,,Anti-éblouissement,0 g/km,16.6 kWh/100 km,6 heures,18 minutes,,,HBA,BCA,Aluminium,,,,,,1,52 L,,LED,Aluminium,,,,GT-Line,Cartographie Tunisienne | Service Kia,,,DAW,,,,,,,,,,,,,
MERCEDES-BENZ CLA,200 Progressive,201 900 DT,Non,Disponible,Berline,2 ans,5,4,4,Essence,9 CV,163 CH,270 nm 2000 tr/min,1332 CM³,Automatique,7,Traction,4688 mm,1830 mm,1427 mm,440 L,,8.4 s,229 KM/H,7 L/100 km,Frontaux | Latéraux | Rideaux | Genoux conducteur,ESP | ASR,BAS,,,Radar de recul | Radar avant | Caméra de recul,,,Feux de jour | Avant | Arrières,En aluminium | 18'',LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Avant,3,Similicuir Artico,Sport,Conducteur et passager,,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,,,Automatique,À distance,Éléctrique,,Électriques | Rabattables | Photosensibles | Avec clignotants intégrés,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mercedes-benz/cla/200-progressive#specs,N.C,N.C,,,,,,,TEMPOMAT,,,Métallisée | +5000 DT,,,Démarrage mains libres,Accès mains libres,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,Chrome,,,,Anti-éblouissement | Sans Cadre,,,,,,,,,,,,,,,,,,,,,,,Progressive Line,,,Velours,Attention Assist,,,,,,Confort,,,,,,,
MERCEDES-BENZ GLA,200 Progressive,204 900 DT,Non,Disponible,SUV,2 ans,5,5,4,Essence,9 CV,163 CH,200 nm 1460 tr/min,1332 CM³,Automatique,7,Traction,4412 mm,2020 mm,1616 mm,435 L,,9.6 s,200 KM/H,7 L/100 km,Frontaux | Rideaux | Bassin,ESP | ASR,BAS,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Feux de jour | Avant | Arrières,En aluminium | 18'',LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.25 pouces,Avant,3,Similicuir,Confort,Conducteur et passager,,Multi-fonctions | Avec palettes,En hauteur et en profondeur,,Ouverture et fermeture motorisées,Automatique,À distance,Éléctrique,Confort | Sport | Eco,Électriques | Rabattables | Photosensibles,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mercedes-benz/gla/200-progressive-2023#specs,,,,,,,,,TEMPOMAT,,,,,,Démarrage mains libres,Accès mains libres,,,,,,,,,,Triangle de présignalisation | Trousse de premiers secours,Chrome,,,,Anti-éblouissement | Sans Cadre,,,,,,,,,,,,,,,,,,,,,,,Progressive Line,,,Velours,Attention Assist,,,,,,,,,,,,,
"HONDA CR-V HYBRIDE
2.0 L E-HEV",Version unique,204 990 DT,Non,Disponible,SUV,3 ans,5,5,4,Essence | Hybride,8 CV,204 CH,335 nm 2000 tr/min,1993 CM³,Automatique,,Traction,4706 mm,1881 mm,1657 mm,587 L,,9 s,194 KM/H,5.1 L/100 km,Frontaux | Latéraux | Rideaux | Genoux,VSA,EBA | EBD | ESS | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | EBB,TPMS,Hill assist,Radar de recul | Radar avant | Système de caméras 360,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Full LED,12 haut-parleurs | Haut-parleurs Bose | Commandes au volant | Subwoofer,Android Auto | 4 USB | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 9 pouces,Avant | Arrière,,Cuir perforé,Électriques | 12 directions | Fonction mémoire,Conducteur,Ouvrant | Panoramique,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées | Ouverture mains libres | Ouverture à distance,Automatique | Bizone | Ventilation arrière,À distance,Éléctrique | EPB,Normal | Sport | Eco,Électriques | Rabattables | Avec clignotants intégrés,10.2 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/honda/cr-v-hybride/e-hev,,,,,,LKA | RDM,,EPS | Électrique,Adaptatif (ACC),,Pare-chocs | Poignées de portes | Rétroviseurs,,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,Laqué Piano Noir,,,,,,,,,Chrome,Porte-lunettes,LED,,Anti-éblouissement,,,,,,,,,,Chromées,,,,,,,,,,,,,,,,,,,,,,Lane Watch,,,,,,,,
BMW SÉRIE 3,320i Business Line,207 900 DT,Non,Disponible,Berline,5 ans (2+3),5,4,4,Essence,9 CV,170 CH,250 nm 1500 tr/min,1598 CM³,Automatique,8,Propulsion,4709 mm,1827 mm,1435 mm,480 L,,8.7 s,226 KM/H,5.5 L/100 km,Frontaux | Latéraux | Rideaux,DSC,DBC,,,Radar de recul | Radar avant | Caméra de recul | Parkassist | Park distance control,,,Feux de jour | Avant | Arrières,En aluminium | 17'',Full LED,6 haut-parleurs | Commandes au volant,USB | USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 14.9 pouces,Avant,3,Tissu,Électriques | Fonction mémoire,Conducteur et passager,,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,1 prise 12 V,,Automatique | 3 zones,À distance,Éléctrique,Confort | Sport | Eco,Électriques | Rabattables | Dégivrants | Mémoire de position | Avec clignotants intégrés,12.3 pouces | BMW Live Plus | Widescreen,Avant/Arrière,https://www.automobile.tn/fr/neuf/bmw/serie-3/320i-business-line#specs,6.8 L/100 km,4.8 L/100 km,,FCW,,,,,Avec fonction freinage,,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée | +5000 DT,,,Démarrage mains libres,Accès mains libres,Aluminium satiné,Quarzsilber mat grainé | Dark Graphite mat,Calorifuges,,,,,,,Triangle de présignalisation | Trousse de premiers secours,Shadow Line,,,,Anti-éblouissement,,,,,LDW,,,,,,,,,,,,,LED,,EDLC,,,Business Line,,+5000 DT,Velours,,,,,,,,,,,,,,
BMW X2,18i sDrive Collection,179 900 DT,Non,45 jours,SUV,5 ans (2+3),5,5,3,Essence,8 CV,156 CH,240 nm 1500 tr/min,1499 CM³,Automatique,7,Traction,4554 mm,1845 mm,1590 mm,560 L,,8.3 s,213 KM/H,6.7 L/100 km,Frontaux | Latéraux | Rideaux,ESP | DSC,Système anti-collision avec détection des piétons,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Feux de jour | Avant | Arrières,En aluminium | 18'',Adaptatifs | LED,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.7 pouces,Avant,3,Mokka | Veganza perforé,Sport,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,Normal | Confort | Sport,Électriques | Rabattables | Dégivrants,10.25 pouces | BMW Live Plus,Avant/Arrière,https://www.automobile.tn/fr/neuf/bmw/x2/18i-sdrive-collection#specs,8.4 L/100 km,5.8 L/100 km,,FCW,,,,,Avec fonction freinage,,,Métallisée | +5000 DT,,,Démarrage mains libres,Accès mains libres,,Noir brillant,Calorifuges | Acoustiques,,,,,,,Triangle de présignalisation,Noir Brillant,,,,Anti-éblouissement,,,,,,,,,,Alu satiné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AUDI Q3 SPORTBACK
35 TFSI BUSINESS LIMITED PLUS S-TRONIC",Version unique,219 000 DT,Non,Disponible,SUV,3 ans,5,5,4,Essence,9 CV,150 CH,250 nm 1500 tr/min,1498 CM³,Automatique,6,Traction,4500 mm,1843 mm,1576 mm,530 L,,9.4 s,205 KM/H,5.8 L/100 km,Frontaux | Latéraux | Protège-tête,ESP,,,Audi hold assist,Radar de recul | Radar avant | Caméra de recul | Audi Parking System Plus,,,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 18'',LED,10 haut-parleurs | MMI Radio Plus | Commandes au volant | Système Audio Audi (180W),2 USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 8.8 pouces,Avant,,Cuir/similicuir,Électriques | Réglage lombaire,Conducteur et passager,Ouvrant | Panoramique,Cuir | 3 branches | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,,Audi Drive Select,Électriques | Rabattables | Dégivrants,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/audi/q3-sportback/35-tfsi-s-tronic-business-limited-plus,6.9 L/100 km,5.1 L/100 km,,,,,,Progressive,,,,Métallisée,,Cuir,Démarrage mains libres,Accès mains libres,Noire,Aluminium brossé | Argent micrométallique,Parebrise athermique | Lunette et vitres arrières sur-teintées | Acoustiques,,,,,,,Triangle de présignalisation,Noir Brillant,,,,Anti-éblouissement | Sans Cadre,129 g/km,,,,,,,,,,,,,,,,,30 Couleurs,,,,,,,,,,,,,,,,,Noir | Tissu,,,,,
VOLVO EC40,Single Motor Ultra,189 900 DT,Non,Disponible,SUV,3 ans ou 100.000 km | Batterie garantie 8 ans,5,5,,Electrique,9 CV,238 CH,420 nm 0 tr/min,,Automatique,,Propulsion,4440 mm,1873 mm,1591 mm,413 L,,7.3 s,180 KM/H,,Frontaux | Latéraux | Rideaux | Genoux conducteur,,Freinage automatique anti-collision (AEB),,,Radar de recul | Radar avant | Système de caméras 360,,,Feux de jour | Avant | Arrières,En aluminium | 19'',Adaptatifs | Pixel LED,14 haut-parleurs | Harman/Kardon | Commandes au volant,USB-C | Apple Carplay | Bluetooth | Commande vocale | Chargeur de téléphone sans fil,Tactile | 9 pouces,Avant | Arrière,3 | Réglage électrique,Suédine,Électriques | Réglage lombaire,Conducteur et passager,Panoramique,Similicuir | Multi-fonctions | Sport,En hauteur et en profondeur,,Ouverture et fermeture motorisées | Ouverture mains libres,Automatique | Bizone,À distance,Éléctrique,,Électriques | Rabattables | Dégivrants | Noirs,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/volvo/ec40-recharge/single-motor-ultra#specs,,,,,,,,Adaptative,,TSR,,Métallisée,,Similicuir,Démarrage mains libres,Accès mains libres,,Aluminium brossé,Lunette et vitres arrières sur-teintées,,,70 kWh,,487 km,,Triangle de présignalisation | Trousse de premiers secours,Noir Brillant,,LED,,Anti-éblouissement,,"16,7 kWh/100 km",7 heures,27 minutes,,,,,Aluminium,Noires,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
MERCEDES-BENZ CLASSE C,180 Avantgarde,223 000 DT,Non,Disponible,Berline,2 ans,5,4,4,Essence | Hybride léger,9 CV,170 CH,250 nm 1800 tr/min,1496 CM³,Automatique,9,Propulsion,4751 mm,1820 mm,1437 mm,455 L,,8.6 s,231 KM/H,6.2 L/100 km,Frontaux | Latéraux | Rideaux | Genoux conducteur,ESP,,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Feux de jour | Avant | Arrières,En aluminium | 17'',Full LED | LED Hautes performances,MBUX | Commandes au volant,USB-C | Android Auto | Apple Carplay | Bluetooth | Commande vocale,11.9 pouces | Vertical | Tactile avec retour haptique,Avant,3,Similicuir/Tissu,Partiellement électriques | Réglage lombaire,Conducteur et passager,,Cuir | Multi-fonctions,En hauteur et en profondeur,,Ouverture à distance,Automatique | Bizone,À distance,Éléctrique,Confort | Sport | Eco | Sport Plus,Électriques | Rabattables | Dégivrants | Éclairage d'accueil à LED,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mercedes-benz/classe-c/180-eq-boost-9g-tronic-avantgarde#specs,8.7 L/100 km,4.7 L/100 km,,,,,,,TEMPOMAT,,,Métallisée | +6000 DT,,,Démarrage mains libres,,,Inserts décoratifs aspect losanges en gris argent,Teintées | Lunette et vitres arrières sur-teintées,,23 CH,,200 nm,,,Triangle de présignalisation | Trousse de premiers secours,Chrome,,,,Anti-éblouissement | Sans Cadre,,,,,,,,,,,,,,,,,,,,,,,Avantgarde,,,Velours,Attention Assist,,,,,,Agility Control,,,,,,,
BMW IX1,xDrive30 xLine,223 900 DT,Non,Disponible,SUV,5 ans (2+3) | Batterie garantie 8 ans,5,5,,Electrique,8 CV,306 CH,494 nm 0 tr/min,,Automatique,1,Intégrale,4500 mm,1845 mm,1616 mm,490 L,,5.6 s,180 KM/H,,Frontaux | Latéraux | Rideaux,TCS,AFU,,,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,,Feux de jour | Avant | Arrières,En aluminium | 18'' | Bi-ton,Adaptatifs | LED,Commandes au volant,Android Auto | Apple Carplay | Bluetooth | Chargeur de téléphone sans fil,Tactile | 10.7 pouces | Curved Display,Avant,,Veganza perforé | Castanea,Électriques | Fonction mémoire | Sport,Conducteur et passager,Ouvrant | Panoramique | En verre,Cuir | Multi-fonctions,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | Bizone,À distance,Éléctrique,,Électriques | Rabattables,10.25 pouces | BMW Live Plus,Avant/Arrière,https://www.automobile.tn/fr/neuf/bmw/ix1/xdrive30-xline#specs,,,,,,,,,Avec fonction freinage,,,Métallisée,,,Démarrage mains libres,Accès mains libres,,Noir brillant,Calorifuges,,,64.8 kWh,,438 km,,Triangle de présignalisation | Trousse de premiers secours,Alu satiné,,,,Anti-éblouissement,,17.0 kWh/100 km,6.5 heures,30 minutes,,,,,,Alu satiné,,Luxury,,,2,,,,,,,,X-line,,eSim | Teleservices | Connected+ Unlimited,,,,,,,,Sport M | Régulation adaptative,,,,,,,
"MERCEDES-BENZ GLB
200 AMG",Version unique,226 900 DT,Non,Disponible,SUV,2 ans,5,5,4,Essence,9 CV,163 CH,250 nm 1620 tr/min,1332 CM³,Automatique,7,Traction,4634 mm,1834 mm,1662 mm,570 L,,9.1 s,207 KM/H,6.2 L/100 km,Frontaux | Latéraux | Rideaux,ESP | ASR,AFU | BAS,,,Radar de recul | Radar avant | Caméra de recul | Parkassist,,,Feux de jour | Avant | Arrières,En aluminium | 19'',Full LED,Commandes au volant,USB | Android Auto | Apple Carplay | Bluetooth,Tactile | 10.1 pouces,Avant,3,Similicuir,Sport,Conducteur et passager,Ouvrant | Panoramique,Multi-fonctions | Avec palettes,En hauteur et en profondeur,,,Automatique,À distance,Éléctrique,Confort | Sport | Eco,Électriques | Rabattables | Photosensibles,10.25 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/mercedes-benz/glb/200-24-amg,7.6 L/100 km,5.4 L/100 km,,,,,,,TEMPOMAT,,,Métallisée | +5000 DT,,,Démarrage mains libres,Accès mains libres,,,Parebrise athermique | Lunette et vitres arrières sur-teintées,,,,,,,,,,,,Anti-éblouissement,,,,,,,,,,,,,,,,,,,,,,,Pack Sport AMG,,,Velours,Attention Assist,,,,,,,,,,,,,
"BYD TANG EV
108.8 KWH",Version unique,229 990 DT,Non,Disponible,SUV,6 ans ou 150.000 km | Batterie garantie 8 ans ou 200.000 km,7,5,,Electrique,9 CV,516 CH,680 nm 0 tr/min,,Automatique,,Intégrale,4970 mm,1955 mm,1745 mm,940 L,1655 L,4.9 s,190 KM/H,,Frontaux | Latéraux | Rideaux,ESP | TCS,EBD | HBA | Système anti-collision avec détection des piétons | Freinage automatique anti-collision (AEB) | VDC,TPMS,HHC,Radar de recul | Radar avant | Système de caméras 360,,HDC,Feux de jour | Avant | Arrières | Clignotants à défilement,En aluminium | 21'' | Bi-ton,LED,12 haut-parleurs | Commandes au volant,Android Auto | 4 USB | Apple Carplay | Bluetooth | Commande vocale | 1 fente pour carte SD | Chargeur de téléphone sans fil,Tactile | Rotatif | 15.6 pouces,Avant | Arrière,3,Cuir,Électriques | 8 directions | Chauffants | Massants | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Chauffant | Multi-fonctions,En hauteur et en profondeur,2 prises 12 V | Chargeur inversé (V2L),Ouverture et fermeture motorisées | Ouverture mains libres,Automatique | 3 zones | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco,Électriques | Rabattables | Dégivrants | Mémoire de position | Avec clignotants intégrés | Éclairage d'accueil à LED,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/byd/tang-ev/bev,,,,FCW,,LKA,,,Adaptatif (ACC) | Cruise control,TSR,Pare-chocs | Poignées de portes | Rétroviseurs,Métallisée,,,Démarrage mains libres,Accès mains libres | Démarrage à distance,,,Acoustiques | Athermiques,,,108.8 kWh,,520 km,,Triangle de présignalisation,Chrome,Porte-lunettes,,,Anti-éblouissement,,20.9 kWh/100 km,7.5 heures,30 minutes,,Rear Cross Traffic Monitor,,,Métal,Aluminium,,Cuir | Alcantara,,,2,,,LED | 31 Couleurs,,,,,,,,,,,,,,,,,,,,,,
"GEELY MONJARO
2.0 L TURBO 4WD GF+",Version unique,235 000 DT,Non,Disponible,SUV,5 ans ou 150000 km,5,5,4,Essence,14 CV,238 CH,350 nm 1500 tr/min,1969 CM³,Automatique,8,Intégrale,4770 mm,1895 mm,1689 mm,562 L,,7.7 s,215 KM/H,8.5 L/100 km,Frontaux | Latéraux | Rideaux,ESC | TCS,EBA | EBD | HBA | Freinage automatique anti-collision (AEB) | VDC,TPMS,Autohold | HHC,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,RMI,HDC,Feux de jour | Avant | Arrières,En aluminium | 20'',Full LED,Haut-parleurs Bose | Subwoofer,2 USB | USB-C | Bluetooth | Chargeur de téléphone sans fil | Mirrorlink,Tactile | 12.3 pouces | écran passager,Avant | Arrière,,Cuir artificiel,Électriques | 6 directions | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Sport,En hauteur et en profondeur,1 prise 12 V,Ouverture et fermeture motorisées,Automatique | 4 zones,À distance,Éléctrique,Confort | Sport | Eco | Offroad | Sable | Neige | Intelligent,Électriques | Rabattables | Dégivrants | Avec clignotants intégrés,12.3 pouces,Avant/Arrière,https://www.automobile.tn/fr/neuf/geely/monjaro/2.0-l-turbo-4wd-gfplus,11.3 L/100 km,7.3 L/100 km,,FCW,,LKA,,,Adaptatif (ACC),TSI,Pare-chocs | Poignées de portes,,,,Démarrage mains libres,Accès mains libres,,,Double vitrage à l’avant,,,,,,,,,,,,,,,,,LDW,RCTA,IHC,BSD,Acier inoxydable,,,Cuir,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GWM TANK 500 HEV
2.0 L",Version unique,239 900 DT,Non,En pré-commande,SUV,5 ans ou 150000 km | Batterie garantie 8 ans ou 150000 km,7,5,4,Essence | Hybride,14 CV,350 CH,648 nm 1400 tr/min,1998 CM³,Automatique,9,Intégrale,5078 mm,1934 mm,1905 mm,,,6.9 s,180 KM/H,8.5 L/100 km,Frontaux | Latéraux | Rideaux,ESC | ESP,AFU | EBA | BAS | Freinage automatique anti-collision (AEB),,,Radar de recul | Radar avant | Système de caméras 360 | Parkassist,,,Feux de jour | Avant | Arrières,En aluminium | 20'',Full LED | Adaptatifs,9 haut-parleurs | Infinity,USB | USB-C | Android Auto | Apple Carplay | Chargeur de téléphone sans fil,Tactile | 14.6 pouces,Avant | Arrière,,Cuir | Nappa,Électriques | Massants | Ventilés | Réglage lombaire | Fonction mémoire,Conducteur et passager,Ouvrant | Panoramique,Cuir | Multi-fonctions | Avec palettes,En hauteur et en profondeur,1 prise 12 V | 220 V,,Automatique | 3 zones | Ventilation arrière,À distance,Éléctrique,Normal | Sport | Eco | Boue | Sable | Neige | Expert,Électriques | Rabattables,,Avant/Arrière,https://www.automobile.tn/fr/neuf/great-wall/tank-500/2.0-l,,,Périmétrique,FCW,,LKA,Niveau 2 | TJA,Électrique,Adaptatif (ACC),TSR,,,,,Démarrage mains libres,Accès mains libres,,,Lunette et vitres arrières sur-teintées,,,,,,,,,Porte-lunettes,,,Anti-éblouissement,,,,,LDW,RCTA,,BSD,,,,,,,,,,64 couleurs,,Arrière | Avant | Central,,,,Boussole | Altimètre,,,,,,Escamotables électriquement,,,,,,,,,,
